testid,description,accountnumber,amount,custref,cardtype,tokenisealgorithmid,ccnumber,cardholdername,cvn,expm,expy,apiuser,apipassword,maskedcc,trntype,DirectDebitReferenceID,OptusChannel,StaffUserID,StoreID,PaymentOrderID,expectedresp
181,BAMBUPFP-Pay and Tokenise with STT,62198802241,381,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
182,BMUPFWEB-Pay and Tokenise with STT,62198802241,382,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
183,BMUPFAPP-Pay and Tokenise with STT,62198802241,383,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
184,BAMBUPFP-Pay and Tokenise with STT,62900847799,384,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
185,BMUPFWEB-Pay and Tokenise with STT,62900847799,385,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
186,BMUPFAPP-Pay and Tokenise with STT,62900847799,386,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
187,BAMBUPFP-Pay and Tokenise with STT,62900847807,387,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
188,BMUPFWEB-Pay and Tokenise with STT,62900847807,388,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
189,BMUPFAPP-Pay and Tokenise with STT,62900847807,389,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
190,BAMBUPFP-Pay and Tokenise with STT,62900849027,390,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
191,BMUPFWEB-Pay and Tokenise with STT,62900849027,391,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
192,BMUPFAPP-Pay and Tokenise with STT,62900849027,392,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
193,BAMBUPFP-Pay and Tokenise with STT,62900849050,393,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
194,BMUPFWEB-Pay and Tokenise with STT,62900849050,394,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
195,BMUPFAPP-Pay and Tokenise with STT,62900849050,395,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
196,BAMBUPFP-Pay and Tokenise with STT,62900849431,396,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
197,BMUPFWEB-Pay and Tokenise with STT,62900849431,397,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
198,BMUPFAPP-Pay and Tokenise with STT,62900849431,398,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
199,BAMBUPFP-Pay and Tokenise with STT,62900849464,399,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
200,BMUPFWEB-Pay and Tokenise with STT,62900849464,400,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
201,BMUPFAPP-Pay and Tokenise with STT,62900849464,401,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
202,BAMBUPFP-Pay and Tokenise with STT,62900851387,402,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
203,BMUPFWEB-Pay and Tokenise with STT,62900851387,403,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
204,BMUPFAPP-Pay and Tokenise with STT,62900851387,404,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
205,BAMBUPFP-Pay and Tokenise with STT,62900874561,405,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
206,BMUPFWEB-Pay and Tokenise with STT,62900874561,406,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
207,BMUPFAPP-Pay and Tokenise with STT,62900874561,407,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
208,BAMBUPFP-Pay and Tokenise with STT,62900877143,408,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
209,BMUPFWEB-Pay and Tokenise with STT,62900877143,409,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
210,BMUPFAPP-Pay and Tokenise with STT,62900877143,410,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
211,BAMBUPFP-Pay and Tokenise with STT,62900878513,411,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
